"num_conta","cod_cliente","cod_agencia","cod_colaborador","tipo_conta","data_abertura","saldo_total","saldo_disponivel","data_ultimo_lancamento"
"53","53","1","7","PF","2011-05-24 15:30:00+00:00","2984.76","2814.67","2019-07-02 11:03:46+00:00"
"190","190","1","7","PF","2014-10-17 14:48:00+00:00","4262.43","4191.86","2021-03-25 12:00:15+00:00"
"191","191","1","7","PF","2013-03-23 14:14:00+00:00","3266.57","3080.71","2016-09-09 23:34:15+00:00"
"203","203","1","7","PF","2016-08-03 16:13:00+00:00","21241.54","19461.56","2022-12-28 07:58:24+00:00"
"254","254","1","7","PF","2012-10-24 13:48:00+00:00","13335.7","13197.54","2013-12-20 22:20:00+00:00"
"306","306","1","7","PF","2012-05-23 12:11:00+00:00","22997.47","21677.88","2016-10-05 03:14:36+00:00"
"472","472","1","7","PF","2022-08-07 12:08:00+00:00","4178.42","4183.68","2022-12-30 00:00:00.675160+00:00"
"520","520","1","7","PF","2019-11-03 16:26:00+00:00","1809.81","1288.51","2022-12-29 23:59:59.753932+00:00"
"739","739","1","7","PF","2014-02-26 12:20:00+00:00","45.77","616.79","2022-12-29 23:59:59.789361+00:00"
"509","509","1","13","PF","2012-01-20 11:56:00+00:00","19159.8","19863.76","2016-06-09 22:25:04+00:00"
"688","688","1","13","PF","2017-12-05 11:03:00+00:00","61105.56","55917.15","2022-09-24 13:18:37+00:00"
"775","775","1","13","PF","2011-03-19 14:55:00+00:00","39008.68","35288.34","2021-06-25 14:12:03+00:00"
"920","920","1","13","PF","2021-01-22 13:48:00+00:00","2023.58","2511.3","2022-12-29 23:59:59.953426+00:00"
"954","954","1","13","PF","2012-04-15 10:23:00+00:00","35545.03","34545.62","2020-03-22 02:59:42+00:00"
"955","955","1","13","PF","2020-03-28 14:02:00+00:00","79502.07","80952.72","2022-06-04 07:26:23+00:00"
"170","170","1","14","PF","2022-12-15 16:01:00+00:00","926.71","335.38","2023-01-11 09:04:20.274900+00:00"
"218","218","1","14","PF","2019-10-01 16:05:00+00:00","180027.69","168407.88","2022-09-09 10:51:55+00:00"
"555","555","1","14","PF","2012-08-24 12:57:00+00:00","52691.54","54240.69","2019-04-01 21:41:58+00:00"
"741","741","1","14","PF","2012-03-03 14:17:00+00:00","91849.87","83480.04","2020-11-17 22:35:58+00:00"
"751","751","1","14","PF","2012-01-13 12:29:00+00:00","59.75","44.86","2022-07-17 17:25:28+00:00"
"953","953","1","14","PF","2015-06-11 15:05:00+00:00","1866.73","1827.75","2022-12-29 23:59:59.106764+00:00"
"108","108","1","23","PF","2017-04-13 12:21:00+00:00","1171.45","812.56","2022-12-29 23:59:59.646511+00:00"
"110","110","1","23","PF","2020-06-19 16:06:00+00:00","11059.76","10208.05","2022-12-30 00:00:00.199407+00:00"
"242","242","1","23","PF","2010-05-06 14:03:00+00:00","165102.06","163409.68","2019-08-09 23:42:11+00:00"
"844","844","1","23","PF","2022-09-19 12:48:00+00:00","20803.94","20373.14","2022-12-29 23:59:59.639046+00:00"
"888","888","1","23","PF","2016-04-13 11:01:00+00:00","91067.68","87609.82","2021-05-22 22:18:09+00:00"
"171","171","1","24","PF","2022-03-04 16:24:00+00:00","68520.06","66507.14","2022-12-30 00:00:00.785500+00:00"
"291","291","1","24","PF","2012-02-26 12:34:00+00:00","40641.12","41016.2","2022-12-08 08:47:13+00:00"
"481","481","1","24","PF","2020-04-14 16:19:00+00:00","86.28","74.53","2022-11-20 16:50:25+00:00"
"564","564","1","24","PF","2015-05-20 11:34:00+00:00","20584.69","19955.3","2017-07-18 11:54:24+00:00"
"584","584","1","24","PF","2014-11-07 11:59:00+00:00","1658.17","1592.7","2019-08-27 12:10:09+00:00"
"635","635","1","24","PF","2022-09-12 15:38:00+00:00","1534.56","1252.55","2022-12-30 00:00:00.337460+00:00"
"116","116","1","30","PF","2014-10-17 13:19:00+00:00","20992.18","20458.98","2022-08-12 12:32:52+00:00"
"153","153","1","30","PF","2014-09-12 16:45:00+00:00","14581.9","14679.19","2019-05-05 14:56:38+00:00"
